id,synsetId,subSynsetId,modelId,split
000772,02691156,02690373,521eab9363fdc2a07209009cfb89d4bd,test
001119,02691156,02690373,50da48c8e7644508fca1f1143bb6bc17,test
003325,02691156,02690373,43abe330362164e99be82ec29531a70f,test
004710,02691156,02690373,4ad92be763c2ded8fca1f1143bb6bc17,test
005357,02691156,02690373,d06105ee2a2ae27c51008e496c6cfd2e,test
005810,02691156,02690373,ddec69970cbc4d29112a90660b187a10,test
006238,02691156,02690373,36d8c865f766e3e097872638b21438e3,test
006345,02691156,02690373,f9e80ce23d9536623fddedb0bf24c68a,test
006679,02691156,02690373,b1f08c51a098c43696d224195a988f09,test
007128,02691156,02690373,4a837740b388aa45d8ff6111270336a9,test
007325,02691156,02690373,a56143efe74ee89ebbf3143b1cb6076a,test
008491,02691156,02690373,3c7e4628a9ea201bbf3143b1cb6076a,test
010675,02691156,02690373,aa07239e9397cf189601fb40d0d298b9,test
010749,02691156,02690373,4635326bc4fdc3e9297cd7e2ef7dfa80,test
010896,02691156,02690373,427030abcc0f11a8947bbeb9022263b8,test
010909,02691156,02690373,d08471df3e76602427743256ca3834f,test
011036,02691156,02690373,b785b39d10c33b5de9f07d25f575b2d4,test
011324,02691156,02690373,e0385af10bddc6a0ca8607f540cc62ba,test
011399,02691156,02690373,b80bd34ab330babbc8727b27ee96a4b7,test
011548,02691156,02690373,e42443669339a6c1a5a118bd15e6e34f,test
011687,02691156,02690373,b4575e5e6161fd497b164268a44f7712,test
012399,02691156,02690373,a6cbada42d1a30d0f5c7319b71bdce6e,test
012848,02691156,02690373,53eee66291c47a91bc0909d98a1ff2b4,test
013418,02691156,02690373,db0c0fc7ce05d372311e3590f044c241,test
013749,02691156,02690373,b976a48c015d6ced5e9e2656aff7dd5b,test
014184,02691156,02690373,489d3e4cc3d790a0ca8607f540cc62ba,test
014798,02691156,02690373,d20e3ed9b3430672bbf3143b1cb6076a,test
015195,02691156,02690373,eed299b690be51ffbd931fcaa69140,test
015999,02691156,02690373,b092d523bdd320e4ca8607f540cc62ba,test
016421,02691156,02690373,d0ee4253d406b3f05e9e2656aff7dd5b,test
017231,02691156,02690373,3db61220251b3c9de719b5362fe06bbb,test
017258,02691156,02690373,a1708ad923f3b51abbf3143b1cb6076a,test
018850,02691156,02690373,dfa36bffe436a98ee0534173b9189765,test
019034,02691156,02690373,fe0c4db38fb6399990b1d6deb98feec6,test
019040,02691156,02690373,545cadae487b55bbc46ba5100bcdc520,test
019264,02691156,02690373,57937c7ab42260ebf119374ee5d5f944,test
019590,02691156,02690373,aa2af754642256c08699933784576e73,test
019881,02691156,02690373,350d12f5290908c7f446f92b52bbd82a,test
019921,02691156,02690373,48e9c61de4db838d84b83051fa0ae5d2,test
020022,02691156,02690373,a9a7f21271b3efbaf446f92b52bbd82a,test
021221,02691156,02690373,ff52c059efaca3c1ca8607f540cc62ba,test
021732,02691156,02690373,997cb29f544d6f2726360e1e29a956c7,test
021793,02691156,02690373,57fe8ad460bcb4929a4a28ef635593ce,test
021854,02691156,02690373,b1835836e541766882568aa50e4e5dba,test
022003,02691156,02690373,f12eefbbefabe566ca8607f540cc62ba,test
022482,02691156,02690373,cf0cdaa94220ee3f4c3a35cee92bb95b,test
022507,02691156,02690373,a074750e28ed3818203936772104a82d,test
024543,02691156,02690373,45a4ec99ed13ed773c2498c4c2f13ca,test
024595,02691156,02690373,d72a483cf8a0cf2bbbf3143b1cb6076a,test
024694,02691156,02690373,c9aeb20d7cd1b3b45e9e2656aff7dd5b,test
024801,02691156,02690373,471ca950dbdf0c6c5f80f808704d6409,test
024879,02691156,02690373,9825919cffec79701944f01d3ab2091b,test
025311,02691156,02690373,e0cc4f538a8da2d65d3bbd70fc7759b7,test
026160,02691156,02690373,97d662e5e6345b46bd46d022fd7d80aa,test
026174,02691156,02690373,9ac292686a2fcebbe719b5362fe06bbb,test
028326,02691156,02690373,f2d4b8440d4bde5330afbcb38d77d0c3,test
029141,02691156,02690373,4c008f39378be18bc0909d98a1ff2b4,test
029447,02691156,02690373,adb3ea03d7b954255e9e2656aff7dd5b,test
030393,02691156,02690373,abc465975af79827dfb86dddee1d6ac3,test
030768,02691156,02690373,33faf711ed54a4d3db22b838c125a50b,test
031664,02691156,02690373,50755e616df58fe566cf1b4a8fc3914e,test
031773,02691156,02690373,f6ea6663b48bf78261f1ef59130c405d,test
032032,02691156,02690373,947d6b9cd1966e2e719b5362fe06bbb,test
032969,02691156,02690373,fc7387d630c84bb9c863ab010b80d9ed,test
033271,02691156,02690373,b6d61068ef2bf2d46059aeb39e538eb2,test
033544,02691156,02690373,b590adb6d3486f6e90b1d6deb98feec6,test
033942,02691156,02690373,9afe827a622d8ca28699933784576e73,test
034033,02691156,02690373,dacb447d7820e7f7ca8607f540cc62ba,test
034232,02691156,02690373,f57c74e194cd2b2bc8727b27ee96a4b7,test
034497,02691156,02690373,b31bbc50a0d3a4366cf1b4a8fc3914e,test
034758,02691156,02690373,a5cd14be786fc8175e9e2656aff7dd5b,test
035935,02691156,02690373,e86fd13a49f0ee0a62b600da24e0965,test
037285,02691156,02690373,a0a7e673a1e1bca78699933784576e73,test
037942,02691156,02690373,d4dac019726e980e203936772104a82d,test
038213,02691156,02690373,9bf3c126d5918c41f5c7319b71bdce6e,test
038310,02691156,02690373,b72804a8bd3dbbaca8607f540cc62ba,test
038639,02691156,02690373,b9fabfa6d5fedbc3a8e091cb544689d5,test
038739,02691156,02690373,dc7c5d12854b9467b96212c8f6cd06e,test
